source_id	target_id	confidence
虚拟式	subjonctif	0.95
复合过去时	passé composé	0.95
未完成过去时	imparfait	0.95
冠词	articles	0.95
代词	pronoms	0.95
条件式	conditionnel	0.95
将来时	futur	0.95
否定	négation	0.95
配合一致	accord	0.95
词汇	vocabulaire	0.95
虚拟式	subjonctif	0.95
复合过去时	passé composé	0.95
未完成过去时	imparfait	0.95
冠词	articles	0.95
代词	pronoms	0.95
条件式	conditionnel	0.95
将来时	futur	0.95
否定	négation	0.95
配合一致	accord	0.95
词汇	vocabulaire	0.95
虚拟式	subjonctif	0.95
复合过去时	passé composé	0.95
未完成过去时	imparfait	0.95
冠词	articles	0.95
代词	pronoms	0.95
条件式	conditionnel	0.95
将来时	futur	0.95
否定	négation	0.95
配合一致	accord	0.95
词汇	vocabulaire	0.95
虚拟式	subjonctif	0.95
复合过去时	passé composé	0.95
未完成过去时	imparfait	0.95
冠词	articles	0.95
代词	pronoms	0.95
条件式	conditionnel	0.95
将来时	futur	0.95
否定	négation	0.95
配合一致	accord	0.95
词汇	vocabulaire	0.95
虚拟式	subjonctif	0.95
复合过去时	passé composé	0.95
未完成过去时	imparfait	0.95
冠词	articles	0.95
代词	pronoms	0.95
条件式	conditionnel	0.95
将来时	futur	0.95
否定	négation	0.95
配合一致	accord	0.95
词汇	vocabulaire	0.95
