query_id	query_text	language
q1	subjonctif français	fr
q2	复合过去时 用法	zh
q3	French imparfait usage	en
q4	articles français	fr
q5	代词 用法	zh
q6	French conditional usage	en
q7	futur français	fr
q8	否定 用法	zh
q9	French agreement usage	en
q10	vocabulaire français	fr
q11	虚拟式 用法	zh
q12	French passe compose usage	en
q13	imparfait français	fr
q14	冠词 用法	zh
q15	French pronouns usage	en
q16	conditionnel français	fr
q17	将来时 用法	zh
q18	French negation usage	en
q19	accord français	fr
q20	词汇 用法	zh
q21	French subjunctive usage	en
q22	passé composé français	fr
q23	未完成过去时 用法	zh
q24	French articles usage	en
q25	pronoms français	fr
q26	条件式 用法	zh
q27	French future tense usage	en
q28	négation français	fr
q29	配合一致 用法	zh
q30	French vocabulary usage	en
q31	subjonctif français	fr
q32	复合过去时 用法	zh
q33	French imparfait usage	en
q34	articles français	fr
q35	代词 用法	zh
q36	French conditional usage	en
q37	futur français	fr
q38	否定 用法	zh
q39	French agreement usage	en
q40	vocabulaire français	fr
q41	虚拟式 用法	zh
q42	French passe compose usage	en
q43	imparfait français	fr
q44	冠词 用法	zh
q45	French pronouns usage	en
q46	conditionnel français	fr
q47	将来时 用法	zh
q48	French negation usage	en
q49	accord français	fr
q50	词汇 用法	zh
q51	French subjunctive usage	en
q52	passé composé français	fr
q53	未完成过去时 用法	zh
q54	French articles usage	en
q55	pronoms français	fr
q56	条件式 用法	zh
q57	French future tense usage	en
q58	négation français	fr
q59	配合一致 用法	zh
q60	French vocabulary usage	en
q61	subjonctif français	fr
q62	复合过去时 用法	zh
q63	French imparfait usage	en
q64	articles français	fr
q65	代词 用法	zh
q66	French conditional usage	en
q67	futur français	fr
q68	否定 用法	zh
q69	French agreement usage	en
q70	vocabulaire français	fr
q71	虚拟式 用法	zh
q72	French passe compose usage	en
q73	imparfait français	fr
q74	冠词 用法	zh
q75	French pronouns usage	en
q76	conditionnel français	fr
q77	将来时 用法	zh
q78	French negation usage	en
q79	accord français	fr
q80	词汇 用法	zh
q81	French subjunctive usage	en
q82	passé composé français	fr
q83	未完成过去时 用法	zh
q84	French articles usage	en
q85	pronoms français	fr
q86	条件式 用法	zh
q87	French future tense usage	en
q88	négation français	fr
q89	配合一致 用法	zh
q90	French vocabulary usage	en
q91	subjonctif français	fr
q92	复合过去时 用法	zh
q93	French imparfait usage	en
q94	articles français	fr
q95	代词 用法	zh
q96	French conditional usage	en
q97	futur français	fr
q98	否定 用法	zh
q99	French agreement usage	en
q100	vocabulaire français	fr
